tanggal,snp500_high,snp500_low,bitcoin_high,bitcoin_low,oil_high,oil_low,gold_high,gold_low,euro_to_usd_rate,us_interest_rate
2015-01-02,2072.36,2046.04,2676,2488.6,55.11,52.03,1193.3,1171.6,12.003,0.13
2015-01-05,2054.44,2017.34,2617.8,2518.8,52.73,49.68,1205.2,1189.1,11.934,0.13
2015-01-06,2030.25,1992.44,2800.5,2614,50.37,47.55,1222,1206,11.889,0.13
2015-01-07,2029.61,2005.55,2804.4,2624.4,49.31,46.83,1217.5,1210,11.839,0.13
2015-01-08,2064.08,2030.61,2757.3,2623.2,49.65,47.73,1216.4,1206.9,11.793,0.13
2015-01-09,2064.43,2038.33,2759.7,2699.5,49.61,47.16,1223.7,1208.3,11.841,0.13
2015-01-12,2049.3,2022.58,2741.6,2540.4,48.19,45.62,1235.8,1218.9,11.834,0.13
2015-01-13,2056.93,2008.25,2660.7,2472.4,46.79,44.2,1243.4,1228.4,11.772,0.13
2015-01-14,2018.4,1988.44,2584.8,2327.3,48.91,45.01,1244.6,1226.6,11.789,0.13
2015-01-15,2021.35,1991.47,2585.1,2309.6,51.27,46.07,1266.6,1227.5,11.631,0.13
2015-01-16,2020.46,1988.12,2616.9,2490.1,48.87,45.95,1281.9,1255.9,1.157,0.13
2015-01-20,2028.94,2004.49,2605.9,2526.5,48.77,45.89,1297,1273.8,11.551,0.13
2015-01-21,2038.29,2012.04,2576.3,2469.5,48.2,46.55,1307.4,1285.8,1.161,0.13
2015-01-22,2064.62,2026.38,2529.6,2387.5,49.09,45.87,1307.1,1280,11.366,0.13
2015-01-23,2062.98,2050.54,2555.3,2375.9,47.76,45.21,1302.2,1285.8,11.208,0.13
2015-01-26,2057.62,2040.97,2617.5,2506.3,46.41,44.35,1299.7,1276.4,11.239,0.13
2015-01-27,2047.86,2019.91,2658.7,2570,46.55,44.81,1297.8,1273.4,11.381,0.13
2015-01-28,2042.49,2001.49,2642.7,2562,45.83,44.08,1293.9,1280,11.288,0.13
2015-01-29,2024.64,1989.18,2634.8,2581.8,44.96,43.58,1286.6,1252.1,1.132,0.13
2015-01-30,2023.32,1993.38,2617.5,2484.7,48.35,44.31,1285.4,1257.5,11.288,0.13
2015-02-02,2021.66,1980.9,2568.7,2480.6,50.56,46.67,1283.9,1266.5,11.342,0.13
2015-02-03,2050.3,2022.71,2576.7,2509.6,54.24,49.69,1286.5,1255.8,11.481,0.13
2015-02-04,2054.74,2036.72,2530.3,2271.8,52.56,47.95,1273.3,1256.9,11.347,0.13
2015-02-05,2063.55,2043.45,2412.8,2265.5,52.1,47.36,1274.6,1256.1,11.477,0.13
2015-02-06,2072.4,2049.97,2424.8,2262.1,53.16,50.72,1269,1228.2,11.315,0.13
2015-02-09,2056.16,2041.88,2436.7,2335,53.99,51.65,1243.6,1234.4,11.324,0.13
2015-02-10,2070.86,2048.62,2370.5,2165.4,52.65,49.86,1245.9,1230.6,11.321,0.13
2015-02-11,2073.48,2057.99,2237.1,1974,51.14,48.05,1238.7,1216.5,11.334,0.13
2015-02-12,2088.53,2069.98,2044.4,1809,51.6,49.14,1232.8,1218,11.403,0.13
2015-02-13,2097.03,2086.7,2233.8,1913.8,53.43,51.03,1234.9,1222.5,11.385,0.13
2015-02-17,2101.3,2089.8,2400.7,2164.6,54.15,50.81,1236.7,1203.3,11.412,0.13
